,SEGUNDA,,,,,,TERCA,,,,,,QUARTA,,,,,,QUINTA,,,,,,SEXTA,,,,
,pre,fmcc2-t1,thiago,obrigatoria,-;2,,pre,atal,tiago,obrigatoria,5;7,,cd105,msn,antao,obrigatoria/opt-especifica,7;-,,cd107,irc,peter,"obrigatoria/opt-especifica",6;-,,pre,lpt,letras,obrigatoria,1;-
,lcc3d,labprog1-t4,wilkerson,obrigatoria,1;1,,pre,direito e cidadania,outro,"obrigatoria/opt-geral",6;-,,lcc1,rec-informacao,leandro,opt-especifica,-;-,,pre,redes,reinaldo,obrigatoria,5;5,,pre,lingua-portuguesa,letras,obrigatoria,-;1
,pre,calculo1-t2,mat,obrigatoria,1;2,,re04,analise-sistemas-t1,franklin,obrigatoria,5;5,,pre,ipdee-t2,marcelo,outros-cursos,-;-,,re16,loac-t3,elmar,obrigatoria,4;4,,lcc3,aplp,everton,opt-especifica,-;-
,pre,estatistica-aplicada,outro,obrigatoria,4;5,,pre,analise-sistemas-t2,eliane,obrigatoria,5;5,,pre,ipdee-t1,marcus,outros-cursos,-;-,,,,,,,,,,,,
,pre,intro-prob-tx,outro,obrigatoria,3;4,,pre,prog-concorrente,thiago,opt-especifica/obrigatória,-;6,,re03,so,fubica,obrigatoria,6;5,,lcc3b,labprog2-t2,eliane,obrigatoria,2;2,,,,,,
,pre,intro-prob-ty,outro,obrigatoria,3;4,,,,,,,,re08,prog1-t3,wilkerson,obrigatoria,1;1,,pre,projeto-so,thiago,opt-especifica,-;-,,,,,,
,pre,metodos-estatisticos,outro,obrigatoria,4;5,,,,,,,,cd107,fpcc2,nazareno,pos-graduacao,-,,pre,linear-t3,outro,obrigatoria,3;3,,,,,,
,,,,,,,,,,,,,pre,economia-t4,outro,opt-geral,-;-,,,,,,,,,,,,
,,,,,,,,,,,,,re01,gestao-si,robert,outros-cursos,-,,,,,,,,,,,,
,,,,,,,,,,,,,re01,adm-si-t1,robert,outros-cursos,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,re08,bd1-t1,baptista,obrigatoria,5;4,,re08,infosoc,robert,"obrigatoria/opt-geral",5;-,,,,,,,,pre,tcomp-t1,andrey,obrigatoria,3;5
,pre,calculo2,mat,obrigatoria,2;3,,,,,,,,lcc3,Métodos e Estatística Aplicada (Práticas),,,,,,,,,,,,,,,
,cd107,fpcc1,fubica,pos-graduacao,-,,,,,,,,,,,,,,,,,,,,,,,,
,lcc1,emp-em-soft,hyggo,opt-especifica,-;-,,re16,loac-t2,elmar,obrigatoria,4;4,,,,,,,,lcc2,les,hyggo,obrigatoria,5;-,,cd105,plp-t2,everton,obrigatoria,4;4
,re08,economia-ti,antao,opt-especifica,-;-,,cd105,proj2,hyggo,obrigatoria,8;9,,,,,,,,cd107,gestao-projetos,wilkerson,opt-especifica,-;-,,pre,plp-t1,melina,obrigatoria,4;4
,pre,cnum-t1,marcus,outros-cursos,-,,pre,metodologia,nazareno/raquel,obrigatoria,2;6,,,,,,,,,,,,,,re08,ia,herman,obrigatoria,6;6
,pre,icc-t2,roberto,outros-cursos,-,,re05,ipdee-t3,roberto,outros-cursos,-,,,,,,,,,,,,,,re03,tcomp-t2,kyller,obrigatoria,3;5
,pre,es,rohit,obrigatoria,4;5,,,,,,,,,,,,,,,,,,,,pre,cnum-t4,bruno,outros-cursos,-
,pre,administracao-t1,adm,opt-geral,-;-,,pre,linear-t4,mat,obrigatoria,3;3,,,,,,,,lcc3a,leda-t1,adalberto,obrigatoria,3;3,,pre,tecprogdee-t2,eustaquio,outros-cursos,-
,pre,calculo1-t3,mat,obrigatoria,1;2,,pre,economia-t1,outro,opt-geral,-;-,,,,,,,,lcc3b,leda-t2,campelo,obrigatoria,3;3,,,,,,
,pre,calculo1-t4,mat,obrigatoria,1;2,,,,,,,,,,,,,,,,,,,,pre,grafos-t1,patricia,obrigatoria,2;3
,,,,,,,pre,icc-t4,eliane,outros-cursos,-,,,,,,,,,,,,,,re01,adm-si-t1,robert,outros-cursos,-
,pre,economia-t2,outro,opt-geral,-;-,,lcc3,aplicacoes-grafos-t1,everton,opt-especifica,-;-,,,,,,,,,,,,,,pre,administracao-t2,adm,opt-geral,-;-
,,,,,,,,,,,,,,,,,,,,,,,,,pre,economia-t3,outro,opt-geral,-;-
,re16,loac-t1,elmar,obrigatoria,4;4,,,,,,,,,,,,,,,,,,,,,,,,
,pre,prog-funcional,adalberto,opt-especifica,-;-,,,,,,,,,,,,,,,,,,,,,,,,
,pre/LCC3,psoft-t1,melina,obrigatoria,4;4,,,,,,,,,,,,,,,,,,,,,,,,
,pre/LCC3,psoft-t2,dalton,obrigatoria,4;4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,pre,tcomp-t1,andrey,obrigatoria,3;5,,pre,prog-funcional,adalberto,opt-especifica,-;-,,re08,bd1-t1,baptista,obrigatoria,5;4,,lcc3,aplicacoes-grafos-t2,everton,opt-especifica,-;-
,,,,,,,,,,,,,pre,calculo2,mat,obrigatoria,2;3,,,,,,,,cd105,daca,matheus,opt-especifica,-;-
